"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U$1";"ETSSOP28";1;"DRV8825";;;
2;"R1,R2";"0805C";2;"WSLP0603R0500FEA";;;
3;"C3";"C0805K";1;"CGA4J3X5R1H475K";;;
4;"C4";"C0603K";1;"0.1u";;;
5;"C6";"C0603";1;"0.01u";;;
6;"U$2";"TRIMMER3MM";1;"EVM-3YSX50B14";;;
7;"R5,R3";"R0603";2;"33k";;;
8;"D1";"SOD323-R";1;"MM3Z3V3T1G";;;
9;"C1";"C0603";1;"0.1u";;;
